"filename", "language", "Vue", "JavaScript", "CSS", "comment", "blank", "total"
"c:\django-vue\zpi_project\frontend\src\App.vue", "Vue", 270, 0, 0, 0, 12, 282
"c:\django-vue\zpi_project\frontend\src\components\chart\Chart.vue", "Vue", 60, 0, 0, 25, 7, 92
"c:\django-vue\zpi_project\frontend\src\components\chart\DropdownOptions.vue", "Vue", 263, 0, 0, 0, 3, 266
"c:\django-vue\zpi_project\frontend\src\components\leaderboard\Dropdown.vue", "Vue", 159, 0, 0, 0, 3, 162
"c:\django-vue\zpi_project\frontend\src\components\leaderboard\DropdownFilters.vue", "Vue", 159, 0, 0, 0, 3, 162
"c:\django-vue\zpi_project\frontend\src\components\leaderboard\Leaderboard.vue", "Vue", 638, 0, 0, 1, 48, 687
"c:\django-vue\zpi_project\frontend\src\components\leaderboard\Modal.vue", "Vue", 315, 0, 0, 0, 5, 320
"c:\django-vue\zpi_project\frontend\src\components\leaderboard\SortButton.vue", "Vue", 53, 0, 0, 0, 4, 57
"c:\django-vue\zpi_project\frontend\src\components\login\LoginFormTW.vue", "Vue", 252, 0, 0, 0, 8, 260
"c:\django-vue\zpi_project\frontend\src\components\searchbar\Searchbar.vue", "Vue", 52, 0, 0, 0, 2, 54
"c:\django-vue\zpi_project\frontend\src\components\sidebar\Sidebar.vue", "Vue", 121, 0, 0, 0, 14, 135
"c:\django-vue\zpi_project\frontend\src\components\sidebar\SidebarLink.vue", "Vue", 61, 0, 0, 0, 12, 73
"c:\django-vue\zpi_project\frontend\src\components\sidebar\state.js", "JavaScript", 0, 8, 0, 0, 3, 11
"c:\django-vue\zpi_project\frontend\src\components\signup\SignUpFormTW.vue", "Vue", 238, 0, 0, 3, 5, 246
"c:\django-vue\zpi_project\frontend\src\index.css", "CSS", 0, 0, 3, 0, 1, 4
"c:\django-vue\zpi_project\frontend\src\main.js", "JavaScript", 0, 8, 0, 0, 3, 11
"c:\django-vue\zpi_project\frontend\src\router\index.js", "JavaScript", 0, 38, 0, 0, 4, 42
"c:\django-vue\zpi_project\frontend\src\services\UserService.js", "JavaScript", 0, 88, 0, 0, 4, 92
"c:\django-vue\zpi_project\frontend\src\views\Leaderboard.vue", "Vue", 13, 0, 0, 0, 2, 15
"c:\django-vue\zpi_project\frontend\src\views\Login.vue", "Vue", 13, 0, 0, 0, 3, 16
"c:\django-vue\zpi_project\frontend\src\views\MyProgress.vue", "Vue", 284, 0, 0, 0, 10, 294
"c:\django-vue\zpi_project\frontend\src\views\ResetPassword.vue", "Vue", 167, 0, 0, 0, 2, 169
"c:\django-vue\zpi_project\frontend\src\views\SignUp.vue", "Vue", 18, 0, 0, 0, 4, 22
"Total", "-", 3136, 142, 3, 29, 162, 3472
